GeneSymbol,log2FoldChange,padj,DE,WT1,WT2,WT3,WT4,WT5,KO1,KO2,KO3,KO4,KO5,KO6,KO7,KO8
Fam234a,-0.02353338149396367,0.8666120999371261,NO,11.57417492549592,12.006859649617859,11.75747260334266,11.943786871576648,11.771773019600603,11.759561505288227,11.691830798278142,11.668525561082001,11.76382800238547,11.881735425903626,11.884849635503327,11.786607802147538,11.907078256549655
Ppp2r5e,0.2074266485717928,8.960282640174176e-4,UP,12.038712898374689,11.931576728024332,11.954937491524255,12.013754421087505,11.980766313264851,12.180883272839084,12.210548888391147,12.191558152369918,12.367395754099949,12.198388462707502,12.134541878160997,12.182611404188108,12.047213785421077
Arhgap21,0.28375453251577015,3.444368142353019e-5,UP,12.85585701385359,13.039937949644886,13.122360436834544,13.00471491738648,13.176500045132503,13.203765686316176,13.218710173766224,13.258817609835843,13.496407505775426,13.415860668149826,13.398904400167403,13.355354797398407,13.24409288954721
Mterf3,-0.1894216262759681,0.1012357807231302,NO,10.564855307712245,10.696810274645024,10.423164177452572,10.603583756060823,10.746321848901234,10.385185074954919,10.25451320230505,10.329431315671773,10.626756830514394,10.286906705965892,10.539193561180598,10.564039294275977,10.332350929113026
Ppih,0.05455025776966185,0.8497477458874965,NO,9.354697808985588,9.038234804526589,8.882845337035713,8.654035967685996,8.73356197478478,9.3083806805989,9.224877215226451,9.179029562178053,9.015319109285938,8.6492165390246,9.030824535329096,8.765095743931047,8.754336135038557
5930420M18Rik,-0.35732743227019703,0.6444022948236238,NO,5.3359629139107145,5.947548025792296,5.78885371458929,5.783792538958805,5.407025237026723,4.325470026323846,5.331741095560715,5.679091368014582,6.290437557318002,6.023255400506557,4.476397396152482,4.326007024100188,4.467237694756919
Gm20900,0.6403062609069763,0.05848511779783069,NO,6.85076884751506,6.304913895992351,6.821139074986569,6.382445264391273,5.573167341577092,7.495868759086481,7.304620610767197,7.77274455089107,6.261074155480047,6.805746807744322,6.713406624585082,6.385063630693349,7.316464329440424
Rnf207,-0.22327527185240284,0.7461904035785798,NO,5.3020684085978385,4.970737406878911,5.742417568284618,4.646234996967758,5.1681956079252585,4.989671429855608,4.8532222663961875,6.026594053445701,4.067805756055238,4.02619230425135,5.727089477847482,4.470799016352227,4.467237694756919
Ubap1,0.08732601813342793,0.4263654106156346,NO,12.004544003113025,12.3245306511645,12.14207774158824,12.238534240899039,12.151421701823896,12.23954597169121,12.204875143991819,12.166084927368857,12.085084148003368,12.264060961122327,12.291317948574251,12.416832948810445,12.41002805618566
Far2,0.015413966281983181,0.9841852687532747,NO,8.000584804560267,5.200788797387214,8.085109124403182,7.960813450607217,7.041818955547487,8.020307761704522,7.929983330162238,7.532935404275214,5.219976419619137,7.8539510214524135,7.505510363945551,7.4481331317107715,7.771683584001144
Phax,0.007235522457661261,0.9601585149985513,NO,11.043229446781456,11.16028267712113,11.226251041320912,11.069046437173387,11.07112374808316,11.111723039850231,11.183226947978168,11.155555065879224,11.024192420910712,11.09911975498885,11.280345804542353,10.930875362418053,11.175904939401688
Cadm4,0.3001723011221184,0.16613530056807457,NO,9.903338429102984,9.293850913720167,8.95079343463075,9.535247848398024,8.986488561536046,9.95780878913698,9.651104681994175,9.874585301431923,9.594210078192816,9.748667542687928,9.554963348623085,9.74040828118815,9.18433579721339
Ireb2,0.014085664357881597,0.9201671542128391,NO,12.541850022983768,12.647256132108181,12.565534847069133,12.48142754906746,12.643137557063776,12.438886793788912,12.540635226764893,12.623916751447974,12.887087866560602,12.582281080883062,12.579690130555583,12.535552172500225,12.492973044987453
A230056P14Rik,0.35523087643634316,0.5442574447939451,NO,5.119511278616212,5.157619990039645,4.460356283866542,5.457161311828622,6.174095619920367,6.413727915566346,5.438742016078083,5.62572616744802,5.791978080451939,5.490819201221442,5.321102313262783,5.963582407684362,5.285951329866931
ENSMUSG00000121500,-0.6651618142334517,0.22346686129134605,NO,6.523162244152613,5.637749230371902,6.482757278989248,5.485086395531456,5.889022093558246,5.4427539192855265,5.538351973230466,4.071685254827897,4.755977317422557,5.866642347440778,5.443622721009799,5.987852571789212,5.434251865875682
Zfp606,-0.25774662430801715,0.5286636998987353,NO,8.031941450113582,7.823447864400486,7.912356647714336,7.240866182875291,6.653802669461839,7.478193136942536,7.266393081527433,7.856203683361938,7.686565238624836,6.344987489072265,7.706516223984559,7.300927360036407,6.616902441704682
Ptp4a2,0.18369383746864656,1.691648798856472e-4,UP,13.970456947969891,13.846662144669951,13.828013539611387,13.76255897473964,13.84705429206646,14.070137320055363,14.10569658885484,14.052093774532821,14.039076314209666,14.044320249506582,14.018325213638724,14.021410744906115,13.931870459306422
Gm2792,-0.02571148944665388,0.9711531877993279,NO,5.3359629139107145,5.842429913883994,5.427210916723979,6.049953870029242,4.881829874169132,5.667349594293503,5.133625226556371,5.421677545988706,6.00179697951835,5.768871677086675,5.482254866544451,5.289585584512055,5.362006311979192
Ltb4r1,-0.6447525182746752,0.0013250255651703713,DOWN,8.698856262008348,8.82716390806561,8.960968669702574,8.41004181425933,8.926331900337106,8.178256850869355,8.197120894911976,8.162905159838692,7.858165323802391,7.767994714702956,8.205060206063177,8.185292699477948,8.422626681937418
Papolg,-0.2435419843463844,0.07056131140303516,NO,9.873357528110796,9.989949553725582,10.242057260858674,9.841003767540975,10.08647120878896,9.63385049433041,9.712816771118801,9.873154872093174,9.980534136011725,9.514215363402078,9.883740755775161,9.977029537596472,9.49630678992981
Ankrd17,0.0285659410908648,0.7366467353284635,NO,13.485622289493593,13.562664254652082,13.572898965335389,13.629017818345243,13.659863336843692,13.521174792259968,13.56692500465153,13.522740071469013,13.738100428104758,13.647236754158106,13.582909015299567,13.678595591865838,13.621591484455266
Ccdc142os,-0.6140321219317694,0.44774526806980813,NO,5.157917584994125,5.758238624742015,5.427210916723979,5.5393655009253715,6.199734005946244,5.466853664601198,4.43762730283293,5.255953658866384,3.589638754391073,4.461270565291071,5.963901273620033,5.328116710329098,4.719360408994296
Gm45205,0.10153197147527726,0.8493181368812234,NO,8.645793714148285,6.507607936828016,8.43455132253224,8.45662316715936,8.022033684883512,8.602057364404741,8.217301064068703,8.716185800107912,6.98152202116089,8.18769630964501,8.4143210938747,7.385570179619856,8.836612680601135
2900076A07Rik,-0.6454354889667667,0.081893966982964,NO,6.523162244152613,7.181877749211966,5.56700227990086,7.410641341441962,6.761019441561065,6.126602204366755,5.690459057292287,6.200916047174107,6.660197447478322,6.164519783449229,6.680559444868873,6.011721189695293,5.434251865875682
Hnrnpab,0.12315755597562955,0.05614339192631025,NO,15.058814038017557,14.964412517484133,14.951273932369288,14.91732333740399,14.92743167682976,15.191923045318255,15.162824676179579,15.15940645858958,14.968899671597207,15.071645058208007,15.012674009386998,15.040211514232052,15.080279793493174
Slc35a4,-0.045408845424363506,0.6514682799905488,NO,11.87220345659543,11.858059152373933,11.878492220571726,11.962220467693346,11.84010626954037,11.792711983827205,11.949147381586124,11.743245956603662,11.892374295819485,11.837581621218309,11.748870376011595,11.752484893969038,11.965385584742913
Fam72a,0.5119508553325144,0.24202570719055314,NO,6.384284360225156,5.242703333009534,5.593405649681221,5.666749313733301,6.433796245283074,6.885398797457914,6.386811002940571,6.2721088526710105,5.928980861698234,6.968744202905216,5.661271668141294,6.6205942216923805,6.3063648657375895
Tmem161a,-0.12951532640982497,0.34452484445399306,NO,10.43892371534102,10.403092945647463,10.604478502333034,10.44290033785918,10.623829675533083,10.327126452056362,10.1520947249617,10.485489008035819,10.206257531387479,10.376766903822169,10.343247808336583,10.527253263802312,10.54203628896689
Ropn1l,0.45714834540672317,0.6534185253148651,NO,5.908969945398833,5.54028180921981,1.4600481279681976,5.071566117086359,2.62732569986966,6.324221742243516,5.538351973230466,5.62572616744802,3.589638754391073,6.044302813572636,4.476397396152482,4.834217569624091,4.322463480663806
