GeneSymbol,log2FoldChange,padj,DE
4921536K21Rik,-0.10758595263220658,0.812633432703414,NO
4930404A12Rik,0.018993811763913397,0.9816140953117097,NO
4930404I05Rik,-0.17730515024313828,0.8684114227176168,NO
4930413G21Rik,-0.5612185760856505,0.4548882360476163,NO
4930417H01Rik,-0.0395572481925353,0.9671743984355092,NO
4930423D22Rik,-0.0335668847094437,0.9750514061906599,NO
4930430F08Rik,-0.18001149477787087,0.178826780996929,NO
4930431P19Rik,-0.16148810940385347,0.7915700554707575,NO
4930438A08Rik,0.047062542236869925,0.8664662089064555,NO
4930442H23Rik,0.1760735388358014,0.8454760181552342,NO
4930445E18Rik,0.023918319720929004,0.9803558848616822,NO
4930451E10Rik,0.19144581034945496,0.800631523391007,NO
4930453N24Rik,0.0018550651838925001,0.9889670796470549,NO
4930455C13Rik,0.20451754132159752,0.7580882148458646,NO
4930458D05Rik,0.20135178198308054,0.8171039387698807,NO
4930470G03Rik,0.16150765693967437,0.8048654040010454,NO
4930473A02Rik,0.3320753575923833,0.536859513552482,NO
4930481A15Rik,-0.32828607186923275,0.4160544290792253,NO
4930483K19Rik,0.530279401682451,0.42403938436011523,NO
4930500M09Rik,0.4588516153359705,0.41076960694446446,NO
4930503L19Rik,0.402719703160539,0.31226497674555215,NO
4930506C21Rik,0.1128004237179932,0.8721028248134325,NO
4930509G22Rik,-0.1585639858696644,0.860775017543166,NO
4930512B01Rik,0.012465939535693088,0.9874186339312646,NO
4930513N10Rik,0.30015582486153475,0.5597465302489091,NO
4930515G01Rik,-0.3283054947636329,0.6137997674547815,NO
4930518I15Rik,-0.2295183687521252,0.7844621679520524,NO
4930522L14Rik,-0.3019336124200682,0.39607682846204256,NO
4930523C07Rik,0.028212636887613055,0.9380904331279895,NO
4930524O07Rik,0.40662650610029893,0.4632516496341765,NO
4930537H20Rik,0.021270061046909046,0.9825698214450186,NO
4930539J05Rik,0.22294712460701724,0.6141720027270484,NO
4930549G23Rik,0.023866634214336154,0.9799412849575826,NO
4930550C14Rik,0.21689262978418583,0.7874197887570556,NO
4930556J24Rik,0.011601995285128919,0.9883940675230386,NO
4930556M19Rik,0.2819269812168907,0.4001163972568791,NO
4930558J18Rik,0.5136227271236989,0.5465180140216519,NO
4930577N17Rik,-0.17044022293302102,0.832171987077889,NO
4930579G18Rik,0.005085487774369707,0.9941967060391875,NO
4930579G24Rik,0.1394065061303622,0.8325590942523438,NO
4930579K19Rik,-0.06835412042510815,0.9510279555371134,NO
4930581F22Rik,0.22523455794746583,0.6929569276019566,NO
4930597O21Rik,0.45141790256219017,0.5014753676912912,NO
4930599N23Rik,0.3205102902512739,0.7257445714476962,NO
4931403E22Rik,-0.02982718792276778,0.9784215620665481,NO
4931406C07Rik,0.008018510077750628,0.9768367935211472,NO
4931414P19Rik,-0.0904850636083119,0.743529660544605,NO
4931428F04Rik,-0.17960863409880534,0.6255526610982675,NO
4931440P22Rik,-0.28575436402216914,0.6464229878541753,NO
4932422M17Rik,0.020176079768190077,0.980813676722594,NO
4932438A13Rik,-0.13449528662308308,0.3571711351395957,NO
4932441J04Rik,-0.1537771692979126,0.7400714787291404,NO
4932442E05Rik,0.6575709783732573,0.20267563626715637,NO
4932702P03Rik,0.026742258422031585,0.9840754287669655,NO
4933404O12Rik,0.3342185527039756,0.058024542761376294,NO
4933407K13Rik,-0.05694255558488776,0.9051382597819169,NO
4933408J17Rik,0.2260380639567985,0.6808623059852129,NO
4933412A08Rik,0.02379222786260087,0.9841181277063629,NO
4933416M07Rik,-0.5716964257993792,0.3787797916919235,NO
4933421O10Rik,0.42384092576803983,0.27513270903020953,NO
4933428G20Rik,0.07365896435566001,0.9279337558415969,NO
4933428P19Rik,0.4056350857657051,0.6372977808843963,NO
4933429H19Rik,0.2626079170461488,0.6916766099954111,NO
4933431E20Rik,-0.45293803787155906,0.19863936052983008,NO
4933431K14Rik,-0.10426658483833544,0.9141273148845526,NO
4933433G15Rik,-0.2508276617383966,0.7144590466212946,NO
4933433G19Rik,0.15181269150846752,0.8489995296049196,NO
4933434E20Rik,-0.19574094499313272,0.2731905753730811,NO
4933439C10Rik,-0.5238237365197047,0.08111100889271455,NO
4933439K11Rik,0.6332976328966546,1.1489320232665165e-5,UP
4933440N22Rik,0.21383704947720103,0.6486941037899441,NO
5031425E22Rik,-0.3106648637015659,0.054858552423766804,NO
5031434O11Rik,-0.14848214002822338,0.7772515193638686,NO
5031439G07Rik,0.09731360538125869,0.3613207951264822,NO
5033430I15Rik,0.46524836758273813,0.12739525468687024,NO
5330432J10Rik,-0.1852953967779281,0.888364559606711,NO
5330438D12Rik,-0.34487054009655366,0.20095821374840747,NO
5430403G16Rik,-0.27010085392561173,0.3787797916919235,NO
5430403N17Rik,0.09593029737453335,0.9071632948229414,NO
5430405H02Rik,-0.3848483880133507,0.05179265963503296,NO
5430414B19Rik,-0.18080595476916075,0.7577451485131463,NO
5430416N02Rik,-0.2618249007430642,0.10337215652536834,NO
5430430B14Rik,-0.06387835401734823,0.8795240071661878,NO
5530601H04Rik,-0.23696573257671685,0.4191774618545586,NO
5730409E04Rik,0.208003543269179,0.4049406009655471,NO
5730455P16Rik,0.0750461119079663,0.558395937884753,NO
5730480H06Rik,0.139432224117973,0.5125226457032962,NO
5730507C01Rik,0.3018816574919222,0.5950010512655338,NO
5830417I10Rik,-0.03439463569024462,0.8235376014442788,NO
5830432E09Rik,0.39657294048050223,0.35466659148926166,NO
5830444B04Rik,0.6599047203515818,0.4800913949658491,NO
5830448L01Rik,-0.23486874088006726,0.6669281881150114,NO
5830462I19Rik,-0.13421967275841837,0.8182676346897415,NO
5930403N24Rik,-0.21842162908100834,0.7466713048175444,NO
5930420M18Rik,-0.35720051816181947,0.6404788420939341,NO
5930430L01Rik,-0.5146578139076344,0.12914864017131594,NO
6030400A10Rik,-1.0469422058944053,0.10541608515655636,NO
6030442K20Rik,0.04611313173785828,0.9560737129414308,NO
6030443J06Rik,-0.265579107758,0.5056375226951175,NO
6030458C11Rik,-0.10034370352175258,0.31100301895112403,NO
6230400D17Rik,-0.005747032152686032,0.9908088127067216,NO
6330403L08Rik,-0.12423858435202033,0.6714407389529692,NO
6330418K02Rik,0.232525132447226,0.6705590562990357,NO
6330537M06Rik,-0.22210036771803948,0.7577451485131463,NO
6330549D23Rik,-0.14463446632943947,0.7841534597144574,NO
6430511E19Rik,-0.8890806764090038,0.01730538873678306,DOWN
6430548M08Rik,-0.2538217783430114,0.12093901343689484,NO
6430550D23Rik,-0.25056473730834683,0.6316741726219135,NO
6430562O15Rik,0.33884465083832416,0.6318693360987354,NO
6530402F18Rik,0.2668855632966976,0.4707561841008887,NO
6530409C15Rik,0.0580032227843694,0.9508417025458468,NO
6720427I07Rik,0.11428348534013555,0.7577451485131463,NO
6820431F20Rik,-0.17708303202636513,0.3886443758301779,NO
8030451A03Rik,0.8269036987942785,0.16220735042779802,NO
8030462N17Rik,0.08313963767576064,0.43018801182228333,NO
8430429K09Rik,-0.2999989669305209,0.1574982538425363,NO
9030025P20Rik,0.21853091649766918,0.7852728289041078,NO
9030407P20Rik,-0.43279568721590894,0.27861541763627795,NO
9030624G23Rik,0.09612834941564069,0.8963929920955626,NO
9130008F23Rik,-0.22595212049287397,0.23417828296356008,NO
9130019O22Rik,0.16952628775623668,0.6034836963234677,NO
9130023H24Rik,-0.26364795752812453,0.19690826939894324,NO
9130221H12Rik,0.17243696306601694,0.4457278850639377,NO
9130230N09Rik,-0.49395692474427993,0.33213622609429383,NO
9130401M01Rik,0.022274478395250215,0.9281178915982611,NO
9230104M06Rik,0.34283933030620745,0.70454785455026,NO
9230112E08Rik,0.05081780376648102,0.9017001641174673,NO
9230114K14Rik,-0.28644669525619015,0.2091522382389256,NO
9230116N13Rik,0.1705232039140744,0.7997056321136494,NO
9330020H09Rik,0.32158883043040976,0.40035110930220974,NO
9330102E08Rik,-0.2765225564826885,0.47217361608719605,NO
9330104G04Rik,0.05184246377846289,0.9480064853412814,NO
9330133O14Rik,-0.1348783233344291,0.676684649286792,NO
9330136K24Rik,-0.10832234318552261,0.8958889600147606,NO
9330151L19Rik,-1.0499258307188768,1.6834221437015052e-4,DOWN
